序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
102,接收,19:10:06.812.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
103,接收,19:10:06.812.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 00 00 ,
104,接收,19:10:06.812.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
105,接收,19:10:06.812.0,0x00000301,标准帧,数据帧,0x08,6D 3C 40 3C 00 00 00 00 ,
106,接收,19:10:06.812.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
107,接收,19:10:06.813.0,0x00000402,标准帧,数据帧,0x08,01 00 00 00 F8 25 00 00 ,
108,接收,19:10:06.813.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 E3 C3 07 00 ,
109,接收,19:10:06.820.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
110,接收,19:10:06.820.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
111,接收,19:10:06.820.0,0x00000405,标准帧,数据帧,0x08,10 0C 10 0C 13 0C 14 0C ,
112,接收,19:10:06.820.0,0x00000406,标准帧,数据帧,0x08,07 0C 1B 0C 17 0C 14 0C ,
113,接收,19:10:06.831.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C DA FF ,
114,接收,19:10:06.831.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
115,接收,19:10:06.831.0,0x00000407,标准帧,数据帧,0x04,17 0C 1D 0C ,
116,接收,19:10:06.831.0,0x00000408,标准帧,数据帧,0x04,6B 09 00 00 ,
117,接收,19:10:06.841.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
118,接收,19:10:06.841.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
119,接收,19:10:06.841.0,0x00000409,标准帧,数据帧,0x08,E5 E4 E5 D7 E5 E5 E5 E5 ,
120,接收,19:10:06.841.0,0x00000506,标准帧,数据帧,0x07,07 0C 1D 0C A5 E4 E5 ,
121,接收,19:10:06.848.0,0x00000509,标准帧,数据帧,0x03,3F 82 01 ,
122,接收,19:10:06.848.0,0x0000050a,标准帧,数据帧,0x03,E6 E6 E5 ,
123,接收,19:10:06.858.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
124,接收,19:10:06.858.0,0x0000050d,标准帧,数据帧,0x08,01 BB 03 00 00 00 00 00 ,
125,接收,19:10:06.916.0,0x00000301,标准帧,数据帧,0x08,6D 3C 44 3C 00 00 00 00 ,
126,接收,19:10:06.916.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
127,接收,19:10:06.936.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
128,接收,19:10:06.936.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
129,接收,19:10:06.937.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D0 FF ,
130,接收,19:10:06.937.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
131,接收,19:10:06.939.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
132,接收,19:10:06.939.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
133,接收,19:10:07.010.0,0x00000301,标准帧,数据帧,0x08,68 3C 44 3C 00 00 00 00 ,
134,接收,19:10:07.010.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
135,接收,19:10:07.018.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
