Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
4283,Receive,19:10:48.817.0,0x00000303,Standard,Data,0x04,B2 00 36 1E ,
4284,Receive,19:10:48.817.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4285,Receive,19:10:48.818.0,0x00000405,Standard,Data,0x08,0E 0C 10 0C 13 0C 14 0C ,
4286,Receive,19:10:48.818.0,0x00000406,Standard,Data,0x08,07 0C 1B 0C 17 0C 14 0C ,
4287,Receive,19:10:48.830.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 83 3C D8 FF ,
4288,Receive,19:10:48.830.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
4289,Receive,19:10:48.830.0,0x00000407,Standard,Data,0x04,17 0C 1D 0C ,
4290,Receive,19:10:48.830.0,0x00000408,Standard,Data,0x04,95 09 00 00 ,
4291,Receive,19:10:48.839.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4292,Receive,19:10:48.839.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
4293,Receive,19:10:48.839.0,0x00000409,Standard,Data,0x08,E5 E4 E5 C6 E5 E5 E8 E5 ,
4294,Receive,19:10:48.839.0,0x00000506,Standard,Data,0x07,07 0C 1D 0C A5 E4 E5 ,
4295,Receive,19:10:48.850.0,0x00000509,Standard,Data,0x03,3F 87 01 ,
4296,Receive,19:10:48.850.0,0x0000050a,Standard,Data,0x03,E6 E6 E7 ,
4297,Receive,19:10:48.860.0,0x0000050d,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
4298,Receive,19:10:48.860.0,0x0000050d,Standard,Data,0x08,01 BB 03 00 00 00 00 00 ,
4299,Receive,19:10:48.917.0,0x00000301,Standard,Data,0x08,6D 3C 0A 3C 00 00 00 00 ,
4300,Receive,19:10:48.917.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4301,Receive,19:10:48.921.0,0x00000303,Standard,Data,0x04,B2 00 36 1E ,
4302,Receive,19:10:48.921.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4303,Receive,19:10:48.940.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7E 3C D4 FF ,
4304,Receive,19:10:48.940.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
4305,Receive,19:10:48.940.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4306,Receive,19:10:48.940.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
4307,Receive,19:10:49.011.0,0x00000301,Standard,Data,0x08,63 3C 13 3C 00 00 00 00 ,
4308,Receive,19:10:49.011.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4309,Receive,19:10:49.021.0,0x00000303,Standard,Data,0x04,B1 00 32 1E ,
4310,Receive,19:10:49.021.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4311,Receive,19:10:49.029.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 82 3C D4 FF ,
4312,Receive,19:10:49.029.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
4313,Receive,19:10:49.038.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4314,Receive,19:10:49.038.0,0x00000401,Standard,Data,0x08,C8 78 00 00 00 00 00 00 ,
4315,Receive,19:10:49.114.0,0x00000301,Standard,Data,0x08,63 3C 0B 3C 00 00 00 00 ,
4316,Receive,19:10:49.114.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4317,Receive,19:10:49.139.0,0x00000303,Standard,Data,0x04,B1 00 32 1E ,
4318,Receive,19:10:49.139.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4319,Receive,19:10:49.139.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D4 FF ,
4320,Receive,19:10:49.139.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
4321,Receive,19:10:49.139.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4322,Receive,19:10:49.139.0,0x00000401,Standard,Data,0x08,C8 78 00 00 00 00 00 00 ,
4323,Receive,19:10:49.211.0,0x00000301,Standard,Data,0x08,68 3C 16 3C 01 00 00 00 ,
4324,Receive,19:10:49.211.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4325,Receive,19:10:49.218.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4326,Receive,19:10:49.218.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4327,Receive,19:10:49.228.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D4 FF ,
4328,Receive,19:10:49.228.0,0x0000030a,Standard,Data,0x04,59 3C 64 3B ,
4329,Receive,19:10:49.239.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4330,Receive,19:10:49.239.0,0x00000401,Standard,Data,0x08,D1 78 00 00 0A 00 00 00 ,
4331,Receive,19:10:49.315.0,0x00000301,Standard,Data,0x08,68 3C 0F 3C 01 00 00 00 ,
4332,Receive,19:10:49.315.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4333,Receive,19:10:49.318.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4334,Receive,19:10:49.318.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4335,Receive,19:10:49.341.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7D 3C D2 FF ,
4336,Receive,19:10:49.341.0,0x0000030a,Standard,Data,0x04,59 3C 64 3B ,
4337,Receive,19:10:49.341.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4338,Receive,19:10:49.341.0,0x00000401,Standard,Data,0x08,D1 78 00 00 0A 00 00 00 ,
4339,Receive,19:10:49.410.0,0x00000301,Standard,Data,0x08,68 3C 10 3C 00 00 00 00 ,
4340,Receive,19:10:49.410.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4341,Receive,19:10:49.418.0,0x00000303,Standard,Data,0x04,B2 00 34 1E ,
4342,Receive,19:10:49.418.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4343,Receive,19:10:49.427.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D2 FF ,
4344,Receive,19:10:49.427.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
4345,Receive,19:10:49.438.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4346,Receive,19:10:49.438.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4347,Receive,19:10:49.513.0,0x00000301,Standard,Data,0x08,68 3C 11 3C 00 00 00 00 ,
4348,Receive,19:10:49.513.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4349,Receive,19:10:49.518.0,0x00000303,Standard,Data,0x04,B2 00 34 1E ,
4350,Receive,19:10:49.518.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4351,Receive,19:10:49.540.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D8 FF ,
4352,Receive,19:10:49.540.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
4353,Receive,19:10:49.540.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4354,Receive,19:10:49.540.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4355,Receive,19:10:49.611.0,0x00000301,Standard,Data,0x08,68 3C 15 3C 00 00 00 00 ,
4356,Receive,19:10:49.611.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4357,Receive,19:10:49.617.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4358,Receive,19:10:49.617.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4359,Receive,19:10:49.627.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 80 3C D4 FF ,
4360,Receive,19:10:49.627.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
4361,Receive,19:10:49.637.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4362,Receive,19:10:49.637.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4363,Receive,19:10:49.715.0,0x00000301,Standard,Data,0x08,68 3C 0F 3C 00 00 00 00 ,
4364,Receive,19:10:49.715.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
