序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
8847520,接收,14:42:30.485.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 E9 01 00 00 ,
8847521,接收,14:42:30.553.0,0x00000301,标准帧,数据帧,0x08,08 51 DD 50 32 00 00 00 ,
8847522,接收,14:42:30.553.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847523,接收,14:42:30.563.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847524,接收,14:42:30.563.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847525,接收,14:42:30.574.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 06 00 ,
8847526,接收,14:42:30.574.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F8 4C ,
8847527,接收,14:42:30.584.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847528,接收,14:42:30.584.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 F4 01 00 00 ,
8847529,接收,14:42:30.656.0,0x00000301,标准帧,数据帧,0x08,08 51 D9 50 32 00 00 00 ,
8847530,接收,14:42:30.656.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847531,接收,14:42:30.663.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847532,接收,14:42:30.663.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847533,接收,14:42:30.685.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847534,接收,14:42:30.685.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F8 4C ,
8847535,接收,14:42:30.685.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847536,接收,14:42:30.685.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 F4 01 00 00 ,
8847537,接收,14:42:30.754.0,0x00000301,标准帧,数据帧,0x08,08 51 D8 50 32 00 00 00 ,
8847538,接收,14:42:30.754.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847539,接收,14:42:30.762.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847540,接收,14:42:30.762.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847541,接收,14:42:30.773.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C FE FF ,
8847542,接收,14:42:30.773.0,0x0000030a,标准帧,数据帧,0x04,F5 50 F8 4C ,
8847543,接收,14:42:30.783.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847544,接收,14:42:30.783.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 F4 01 00 00 ,
8847545,接收,14:42:30.855.0,0x00000301,标准帧,数据帧,0x08,08 51 DB 50 32 00 00 00 ,
8847546,接收,14:42:30.855.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847547,接收,14:42:30.887.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847548,接收,14:42:30.887.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847549,接收,14:42:30.887.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
