序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
2049,接收,19:52:55.582.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2050,接收,19:52:55.582.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2051,接收,19:52:55.655.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3d 00 00 00 00 00 
2052,接收,19:52:55.656.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2053,接收,19:52:55.664.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2054,接收,19:52:55.664.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2055,接收,19:52:55.673.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c d6 ff 
2056,接收,19:52:55.673.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2057,接收,19:52:55.683.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2058,接收,19:52:55.683.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2059,接收,19:52:55.760.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3a 00 00 00 00 00 
2060,接收,19:52:55.760.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2061,接收,19:52:55.781.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2062,接收,19:52:55.781.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2063,接收,19:52:55.785.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 82 3c d0 ff 
2064,接收,19:52:55.785.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2065,接收,19:52:55.785.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2066,接收,19:52:55.785.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2067,接收,19:52:55.855.0,0x00000301,数据帧,标准帧,0x08,f4 3c 39 00 00 00 00 00 
2068,接收,19:52:55.855.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2069,接收,19:52:55.864.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2070,接收,19:52:55.864.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2071,接收,19:52:55.874.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7d 3c d6 ff 
2072,接收,19:52:55.874.0,0x0000030a,数据帧,标准帧,0x04,2b 02 26 02 
2073,接收,19:52:55.884.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2074,接收,19:52:55.884.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2075,接收,19:52:55.960.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3a 00 00 00 00 00 
2076,接收,19:52:55.960.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2077,接收,19:52:55.981.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2078,接收,19:52:55.981.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2079,接收,19:52:55.982.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 81 3c d6 ff 
2080,接收,19:52:55.982.0,0x0000030a,数据帧,标准帧,0x04,2b 02 26 02 
2081,接收,19:52:55.985.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2082,接收,19:52:55.985.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2083,接收,19:52:56.057.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2084,接收,19:52:56.057.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2085,接收,19:52:56.057.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2086,接收,19:52:56.057.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3c 00 00 00 00 00 
2087,接收,19:52:56.057.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2088,接收,19:52:56.057.0,0x00000402,数据帧,标准帧,0x08,02 00 00 00 0d 2f 00 00 
2089,接收,19:52:56.058.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 e3 c3 07 00 
2090,接收,19:52:56.065.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2091,接收,19:52:56.065.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2092,接收,19:52:56.065.0,0x00000405,数据帧,标准帧,0x08,2b 0c 2d 0c 2f 0c 31 0c 
2093,接收,19:52:56.065.0,0x00000406,数据帧,标准帧,0x08,24 0c 37 0c 31 0c 31 0c 
2094,接收,19:52:56.074.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c cc ff 
2095,接收,19:52:56.074.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2096,接收,19:52:56.074.0,0x00000407,数据帧,标准帧,0x04,34 0c 38 0c 
2097,接收,19:52:56.074.0,0x00000408,数据帧,标准帧,0x04,01 00 00 00 
2098,接收,19:52:56.085.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2099,接收,19:52:56.085.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2100,接收,19:52:56.085.0,0x00000409,数据帧,标准帧,0x08,e5 e4 e5 d7 e6 e5 e5 e6 
2101,接收,19:52:56.085.0,0x00000506,数据帧,标准帧,0x07,24 0c 38 0c a5 e4 e5 
2102,接收,19:52:56.093.0,0x00000509,数据帧,标准帧,0x03,3f 80 01 
2103,接收,19:52:56.093.0,0x0000050a,数据帧,标准帧,0x03,e7 e6 e4 
2104,接收,19:52:56.104.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2105,接收,19:52:56.104.0,0x0000050d,数据帧,标准帧,0x08,01 9f 04 00 00 00 00 00 
2106,接收,19:52:56.159.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3b 00 00 00 00 00 
2107,接收,19:52:56.159.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2108,接收,19:52:56.183.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2109,接收,19:52:56.183.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2110,接收,19:52:56.183.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 81 3c d6 ff 
2111,接收,19:52:56.183.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2112,接收,19:52:56.183.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2113,接收,19:52:56.183.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2114,接收,19:52:56.256.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3a 00 00 00 00 00 
2115,接收,19:52:56.256.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2116,接收,19:52:56.263.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2117,接收,19:52:56.263.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2118,接收,19:52:56.274.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c d8 ff 
2119,接收,19:52:56.274.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2120,接收,19:52:56.283.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2121,接收,19:52:56.283.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2122,接收,19:52:56.361.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3b 00 00 00 00 00 
2123,接收,19:52:56.361.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2124,接收,19:52:56.382.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2125,接收,19:52:56.382.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2126,接收,19:52:56.383.0,0x00000309,数据帧,标准帧,0x08,62 a8 00 3d 81 3c d8 ff 
2127,接收,19:52:56.383.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2128,接收,19:52:56.385.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2129,接收,19:52:56.385.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2130,接收,19:52:56.455.0,0x00000301,数据帧,标准帧,0x08,f4 3c 38 00 00 00 00 00 
2131,接收,19:52:56.455.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2132,接收,19:52:56.462.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2133,接收,19:52:56.462.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2134,接收,19:52:56.473.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c da ff 
2135,接收,19:52:56.473.0,0x0000030a,数据帧,标准帧,0x04,2b 02 26 02 
2136,接收,19:52:56.485.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2137,接收,19:52:56.485.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2138,接收,19:52:56.559.0,0x00000301,数据帧,标准帧,0x08,f4 3c 37 00 00 00 00 00 
2139,接收,19:52:56.559.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2140,接收,19:52:56.584.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2141,接收,19:52:56.584.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2142,接收,19:52:56.584.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 80 3c d0 ff 
2143,接收,19:52:56.584.0,0x0000030a,数据帧,标准帧,0x04,2b 02 26 02 
2144,接收,19:52:56.584.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2145,接收,19:52:56.584.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2146,接收,19:52:56.656.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3a 00 00 00 00 00 
2147,接收,19:52:56.656.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2148,接收,19:52:56.663.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2149,接收,19:52:56.663.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2150,接收,19:52:56.672.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c da ff 
2151,接收,19:52:56.672.0,0x0000030a,数据帧,标准帧,0x04,30 02 26 02 
2152,接收,19:52:56.683.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2153,接收,19:52:56.683.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2154,接收,19:52:56.760.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3b 00 00 00 00 00 
2155,接收,19:52:56.760.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2156,接收,19:52:56.783.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2157,接收,19:52:56.783.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2158,接收,19:52:56.783.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 80 3c d4 ff 
2159,接收,19:52:56.783.0,0x0000030a,数据帧,标准帧,0x04,30 02 26 02 
2160,接收,19:52:56.783.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2161,接收,19:52:56.783.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2162,接收,19:52:56.855.0,0x00000301,数据帧,标准帧,0x08,f4 3c 39 00 00 00 00 00 
2163,接收,19:52:56.855.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2164,接收,19:52:56.862.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2165,接收,19:52:56.862.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2166,接收,19:52:56.875.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c d8 ff 
2167,接收,19:52:56.875.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2168,接收,19:52:56.883.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2169,接收,19:52:56.883.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2170,接收,19:52:56.960.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3a 00 00 00 00 00 
2171,接收,19:52:56.960.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2172,接收,19:52:56.982.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2173,接收,19:52:56.982.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2174,接收,19:52:56.982.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 81 3c d2 ff 
2175,接收,19:52:56.982.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2176,接收,19:52:56.985.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2177,接收,19:52:56.985.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2178,接收,19:52:57.055.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2179,接收,19:52:57.056.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2180,接收,19:52:57.056.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2181,接收,19:52:57.057.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3a 00 00 00 00 00 
2182,接收,19:52:57.057.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2183,接收,19:52:57.058.0,0x00000402,数据帧,标准帧,0x08,02 00 00 00 0d 2f 00 00 
2184,接收,19:52:57.058.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 e3 c3 07 00 
2185,接收,19:52:57.064.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2186,接收,19:52:57.064.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2187,接收,19:52:57.064.0,0x00000405,数据帧,标准帧,0x08,2b 0c 2d 0c 2e 0c 31 0c 
2188,接收,19:52:57.064.0,0x00000406,数据帧,标准帧,0x08,24 0c 37 0c 31 0c 31 0c 
2189,接收,19:52:57.074.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c d2 ff 
2190,接收,19:52:57.074.0,0x0000030a,数据帧,标准帧,0x04,2b 02 26 02 
2191,接收,19:52:57.074.0,0x00000407,数据帧,标准帧,0x04,34 0c 38 0c 
2192,接收,19:52:57.074.0,0x00000408,数据帧,标准帧,0x04,02 00 00 00 
2193,接收,19:52:57.084.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2194,接收,19:52:57.084.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2195,接收,19:52:57.084.0,0x00000409,数据帧,标准帧,0x08,e5 e4 e5 d7 e6 e5 e5 e6 
2196,接收,19:52:57.084.0,0x00000506,数据帧,标准帧,0x07,24 0c 38 0c a5 e4 e5 
2197,接收,19:52:57.093.0,0x00000509,数据帧,标准帧,0x03,3f 80 01 
2198,接收,19:52:57.093.0,0x0000050a,数据帧,标准帧,0x03,e7 e6 e4 
2199,接收,19:52:57.104.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2200,接收,19:52:57.104.0,0x0000050d,数据帧,标准帧,0x08,01 9f 04 00 00 00 00 00 
2201,接收,19:52:57.159.0,0x00000301,数据帧,标准帧,0x08,f4 3c 39 00 00 00 00 00 
2202,接收,19:52:57.159.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2203,接收,19:52:57.166.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2204,接收,19:52:57.166.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2205,接收,19:52:57.186.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 81 3c d6 ff 
2206,接收,19:52:57.186.0,0x0000030a,数据帧,标准帧,0x04,2b 02 26 02 
2207,接收,19:52:57.186.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2208,接收,19:52:57.186.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2209,接收,19:52:57.255.0,0x00000301,数据帧,标准帧,0x08,f4 3c 39 00 00 00 00 00 
2210,接收,19:52:57.255.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2211,接收,19:52:57.263.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2212,接收,19:52:57.263.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2213,接收,19:52:57.274.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7c 3c d6 ff 
2214,接收,19:52:57.274.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2215,接收,19:52:57.284.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2216,接收,19:52:57.284.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2217,接收,19:52:57.359.0,0x00000301,数据帧,标准帧,0x08,f4 3c 3a 00 00 00 00 00 
2218,接收,19:52:57.359.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2219,接收,19:52:57.383.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2220,接收,19:52:57.383.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2221,接收,19:52:57.383.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7f 3c d4 ff 
2222,接收,19:52:57.383.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2223,接收,19:52:57.383.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2224,接收,19:52:57.383.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2225,接收,19:52:57.455.0,0x00000301,数据帧,标准帧,0x08,f4 3c 37 00 00 00 00 00 
2226,接收,19:52:57.455.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2227,接收,19:52:57.463.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2228,接收,19:52:57.463.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2229,接收,19:52:57.473.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c d2 ff 
2230,接收,19:52:57.473.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2231,接收,19:52:57.483.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2232,接收,19:52:57.483.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2233,接收,19:52:57.558.0,0x00000301,数据帧,标准帧,0x08,f4 3c 34 00 00 00 00 00 
2234,接收,19:52:57.558.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2235,接收,19:52:57.585.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2236,接收,19:52:57.585.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2237,接收,19:52:57.585.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 80 3c ce ff 
2238,接收,19:52:57.585.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2239,接收,19:52:57.585.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2240,接收,19:52:57.585.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2241,接收,19:52:57.656.0,0x00000301,数据帧,标准帧,0x08,f4 3c 36 00 00 00 00 00 
2242,接收,19:52:57.656.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2243,接收,19:52:57.664.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2244,接收,19:52:57.664.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2245,接收,19:52:57.673.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7d 3c d6 ff 
2246,接收,19:52:57.673.0,0x0000030a,数据帧,标准帧,0x04,35 02 26 02 
2247,接收,19:52:57.683.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2248,接收,19:52:57.683.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2249,接收,19:52:57.760.0,0x00000301,数据帧,标准帧,0x08,f4 3c 39 00 00 00 00 00 
2250,接收,19:52:57.760.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2251,接收,19:52:57.781.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2252,接收,19:52:57.781.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2253,接收,19:52:57.785.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 80 3c d6 ff 
2254,接收,19:52:57.785.0,0x0000030a,数据帧,标准帧,0x04,35 02 26 02 
2255,接收,19:52:57.785.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2256,接收,19:52:57.785.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2257,接收,19:52:57.856.0,0x00000301,数据帧,标准帧,0x08,f4 3c 36 00 00 00 00 00 
2258,接收,19:52:57.856.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2259,接收,19:52:57.863.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2260,接收,19:52:57.863.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2261,接收,19:52:57.874.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c da ff 
2262,接收,19:52:57.874.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2263,接收,19:52:57.883.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2264,接收,19:52:57.883.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2265,接收,19:52:57.961.0,0x00000301,数据帧,标准帧,0x08,f4 3c 33 00 00 00 00 00 
2266,接收,19:52:57.961.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2267,接收,19:52:57.983.0,0x00000303,数据帧,标准帧,0x04,df 00 7a 1e 
2268,接收,19:52:57.983.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2269,接收,19:52:57.983.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 81 3c d0 ff 
2270,接收,19:52:57.983.0,0x0000030a,数据帧,标准帧,0x04,30 02 21 02 
2271,接收,19:52:57.983.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2272,接收,19:52:57.983.0,0x00000401,数据帧,标准帧,0x08,ea 79 00 00 00 00 00 00 
2273,接收,19:52:58.055.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2274,接收,19:52:58.055.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2275,接收,19:52:58.056.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2276,接收,19:52:58.057.0,0x00000301,数据帧,标准帧,0x08,f9 3c 33 00 00 00 00 00 
2277,接收,19:52:58.057.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2278,接收,19:52:58.059.0,0x00000402,数据帧,标准帧,0x08,02 00 00 00 0d 2f 00 00 
2279,接收,19:52:58.059.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 e3 c3 07 00 
2280,接收,19:52:58.062.0,0x00000303,数据帧,标准帧,0x04,df 00 7d 1e 
2281,接收,19:52:58.062.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2282,接收,19:52:58.065.0,0x00000405,数据帧,标准帧,0x08,2b 0c 2d 0c 2e 0c 31 0c 
2283,接收,19:52:58.065.0,0x00000406,数据帧,标准帧,0x08,24 0c 37 0c 31 0c 31 0c 
2284,接收,19:52:58.074.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7e 3c d6 ff 
2285,接收,19:52:58.074.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2286,接收,19:52:58.074.0,0x00000407,数据帧,标准帧,0x04,34 0c 37 0c 
2287,接收,19:52:58.074.0,0x00000408,数据帧,标准帧,0x04,03 00 00 00 
2288,接收,19:52:58.084.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2289,接收,19:52:58.084.0,0x00000401,数据帧,标准帧,0x08,f4 79 00 00 00 00 00 00 
2290,接收,19:52:58.084.0,0x00000409,数据帧,标准帧,0x08,e5 e4 e5 d7 e6 e5 e5 e6 
2291,接收,19:52:58.084.0,0x00000506,数据帧,标准帧,0x07,24 0c 37 0c a5 e4 e5 
2292,接收,19:52:58.093.0,0x00000509,数据帧,标准帧,0x03,3f 80 01 
2293,接收,19:52:58.093.0,0x0000050a,数据帧,标准帧,0x03,e7 e6 e4 
2294,接收,19:52:58.103.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2295,接收,19:52:58.103.0,0x0000050d,数据帧,标准帧,0x08,01 9f 04 00 00 00 00 00 
2296,接收,19:52:58.160.0,0x00000301,数据帧,标准帧,0x08,f9 3c 36 00 00 00 00 00 
2297,接收,19:52:58.160.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2298,接收,19:52:58.184.0,0x00000303,数据帧,标准帧,0x04,df 00 7d 1e 
2299,接收,19:52:58.184.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2300,接收,19:52:58.184.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 82 3c d2 ff 
2301,接收,19:52:58.184.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2302,接收,19:52:58.184.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2303,接收,19:52:58.184.0,0x00000401,数据帧,标准帧,0x08,f4 79 00 00 00 00 00 00 
2304,接收,19:52:58.257.0,0x00000301,数据帧,标准帧,0x08,fe 3c 32 00 00 00 00 00 
2305,接收,19:52:58.257.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
2306,接收,19:52:58.264.0,0x00000303,数据帧,标准帧,0x04,df 00 7f 1e 
2307,接收,19:52:58.264.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 10 00 00 
2308,接收,19:52:58.273.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3d 7d 3c d2 ff 
2309,接收,19:52:58.273.0,0x0000030a,数据帧,标准帧,0x04,2b 02 21 02 
2310,接收,19:52:58.283.0,0x00000400,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2311,接收,19:52:58.283.0,0x00000401,数据帧,标准帧,0x08,fe 79 00 00 00 00 00 00 
2312,接收,19:52:58.361.0,0x00000301,数据帧,标准帧,0x08,fe 3c 36 00 00 00 00 00 
2313,接收,19:52:58.361.0,0x00000302,数据帧,标准帧,0x08,47 00 c4 09 a9 50 9d 39 
