序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
8847491,接收,14:42:07.959.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847492,接收,14:42:07.976.0,0x00000303,标准帧,数据帧,0x04,8C 28 00 00 ,
8847493,接收,14:42:07.976.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847494,接收,14:42:07.976.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C FA FF ,
8847495,接收,14:42:07.976.0,0x0000030a,标准帧,数据帧,0x04,18 51 FE 50 ,
8847496,接收,14:42:07.976.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847497,接收,14:42:07.976.0,0x00000401,标准帧,数据帧,0x08,30 A2 00 00 B8 01 00 00 ,
8847498,接收,14:42:08.055.0,0x00000301,标准帧,数据帧,0x08,12 51 CD 50 2B 00 00 00 ,
8847499,接收,14:42:08.055.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847500,接收,14:42:08.055.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847501,接收,14:42:08.055.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847502,接收,14:42:08.071.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C F8 FF ,
8847503,接收,14:42:08.071.0,0x0000030a,标准帧,数据帧,0x04,1C 51 FE 50 ,
8847504,接收,14:42:08.071.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847505,接收,14:42:08.071.0,0x00000401,标准帧,数据帧,0x08,26 A2 00 00 AD 01 00 00 ,
8847506,接收,14:42:08.151.0,0x00000301,标准帧,数据帧,0x08,12 51 D0 50 2B 00 00 00 ,
8847507,接收,14:42:08.151.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847508,接收,14:42:08.182.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847509,接收,14:42:08.182.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847510,接收,14:42:08.182.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C F8 FF ,
8847511,接收,14:42:08.182.0,0x0000030a,标准帧,数据帧,0x04,1C 51 FE 50 ,
8847512,接收,14:42:08.182.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847513,接收,14:42:08.182.0,0x00000401,标准帧,数据帧,0x08,26 A2 00 00 AD 01 00 00 ,
8847514,接收,14:42:08.245.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847515,接收,14:42:08.245.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 08 00 ,
8847516,接收,14:42:08.245.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847517,接收,14:42:08.245.0,0x00000301,标准帧,数据帧,0x08,12 51 CF 50 2C 00 00 00 ,
8847518,接收,14:42:08.245.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847519,接收,14:42:08.245.0,0x00000402,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847520,接收,14:42:08.245.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847521,接收,14:42:08.262.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847522,接收,14:42:08.262.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847523,接收,14:42:08.262.0,0x00000405,标准帧,数据帧,0x08,31 10 31 10 32 10 31 10 ,
8847524,接收,14:42:08.262.0,0x00000406,标准帧,数据帧,0x08,33 10 32 10 32 10 33 10 ,
8847525,接收,14:42:08.262.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C FE FF ,
8847526,接收,14:42:08.262.0,0x0000030a,标准帧,数据帧,0x04,18 51 03 51 ,
8847527,接收,14:42:08.262.0,0x00000407,标准帧,数据帧,0x04,35 10 33 10 ,
8847528,接收,14:42:08.262.0,0x00000408,标准帧,数据帧,0x04,B8 AF 07 00 ,
8847529,接收,14:42:08.278.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847530,接收,14:42:08.278.0,0x00000401,标准帧,数据帧,0x08,26 A2 00 00 B8 01 00 00 ,
8847531,接收,14:42:08.278.0,0x00000409,标准帧,数据帧,0x08,E3 E4 E3 D8 E3 E3 E3 E4 ,
8847532,接收,14:42:08.278.0,0x00000506,标准帧,数据帧,0x07,31 10 35 10 91 E3 E4 ,
8847533,接收,14:42:08.295.0,0x00000509,标准帧,数据帧,0x03,3E 59 01 ,
8847534,接收,14:42:08.295.0,0x0000050a,标准帧,数据帧,0x03,E5 E6 E3 ,
8847535,接收,14:42:08.295.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847536,接收,14:42:08.295.0,0x0000050d,标准帧,数据帧,0x08,01 4F C3 00 00 00 00 00 ,
8847537,接收,14:42:08.357.0,0x00000301,标准帧,数据帧,0x08,12 51 D1 50 2C 00 00 00 ,
8847538,接收,14:42:08.357.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847539,接收,14:42:08.373.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847540,接收,14:42:08.373.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847541,接收,14:42:08.373.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C 00 00 ,
8847542,接收,14:42:08.373.0,0x0000030a,标准帧,数据帧,0x04,18 51 03 51 ,
8847543,接收,14:42:08.373.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847544,接收,14:42:08.373.0,0x00000401,标准帧,数据帧,0x08,26 A2 00 00 B8 01 00 00 ,
8847545,接收,14:42:08.452.0,0x00000301,标准帧,数据帧,0x08,12 51 D1 50 2B 00 00 00 ,
8847546,接收,14:42:08.452.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847547,接收,14:42:08.452.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847548,接收,14:42:08.452.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847549,接收,14:42:08.468.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C FC FF ,
