Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
147,Receive,15:16:37.482.0,0x00000604,Data,Standard,0x08,00 00 00 00 00 00 00 00 
148,Receive,15:16:37.482.0,0x00000605,Data,Standard,0x08,00 00 00 00 00 00 00 00 
149,Receive,15:16:37.482.0,0x00000606,Data,Standard,0x08,00 00 00 00 00 00 00 00 
150,Receive,15:16:37.482.0,0x00000301,Data,Standard,0x08,5a 46 5b 00 00 00 00 00 
151,Receive,15:16:37.482.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
152,Receive,15:16:37.482.0,0x00000402,Data,Standard,0x08,27 00 00 00 4b b0 02 00 
153,Receive,15:16:37.482.0,0x00000403,Data,Standard,0x08,64 00 00 00 b3 e0 06 00 
154,Receive,15:16:37.492.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
155,Receive,15:16:37.492.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
156,Receive,15:16:37.492.0,0x00000405,Data,Standard,0x08,11 0e 11 0e 11 0e 0f 0e 
157,Receive,15:16:37.492.0,0x00000406,Data,Standard,0x08,11 0e 11 0e 11 0e 11 0e 
158,Receive,15:16:37.503.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c cc ff 
159,Receive,15:16:37.503.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
160,Receive,15:16:37.503.0,0x00000407,Data,Standard,0x04,11 0e 11 0e 
161,Receive,15:16:37.503.0,0x00000408,Data,Standard,0x04,3b 00 00 00 
162,Receive,15:16:37.512.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
163,Receive,15:16:37.513.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
164,Receive,15:16:37.513.0,0x00000409,Data,Standard,0x08,e4 e4 e6 d7 e5 e9 e5 e6 
165,Receive,15:16:37.513.0,0x00000506,Data,Standard,0x07,0f 0e 11 0e 94 e4 e6 
166,Receive,15:16:37.521.0,0x00000509,Data,Standard,0x03,40 72 01 
167,Receive,15:16:37.521.0,0x0000050a,Data,Standard,0x03,e9 e9 e5 
168,Receive,15:16:37.531.0,0x0000050d,Data,Standard,0x08,00 00 00 00 00 00 00 00 
169,Receive,15:16:37.531.0,0x0000050d,Data,Standard,0x08,01 5a 4c 00 00 00 00 00 
170,Receive,15:16:37.584.0,0x00000301,Data,Standard,0x08,5a 46 5d 00 00 00 00 00 
171,Receive,15:16:37.584.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
172,Receive,15:16:37.609.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
173,Receive,15:16:37.609.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
174,Receive,15:16:37.609.0,0x00000309,Data,Standard,0x08,62 a7 00 46 82 3c ca ff 
175,Receive,15:16:37.609.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
176,Receive,15:16:37.609.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
177,Receive,15:16:37.609.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
178,Receive,15:16:37.680.0,0x00000301,Data,Standard,0x08,5a 46 5d 00 00 00 00 00 
179,Receive,15:16:37.680.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
180,Receive,15:16:37.691.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
181,Receive,15:16:37.691.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
182,Receive,15:16:37.700.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c cc ff 
183,Receive,15:16:37.700.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
184,Receive,15:16:37.712.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
185,Receive,15:16:37.712.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
186,Receive,15:16:37.781.0,0x00000301,Data,Standard,0x08,5a 46 5d 00 00 00 00 00 
187,Receive,15:16:37.781.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
188,Receive,15:16:37.809.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
189,Receive,15:16:37.809.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
