序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
107,接收,10:43:01.262.0,0x00000301,数据帧,标准帧,0x08,ac 44 6f 2c fe ff 00 00 
108,接收,10:43:01.262.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
109,接收,10:43:01.273.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
110,接收,10:43:01.273.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
111,接收,10:43:01.283.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7b 3c d7 ff 
112,接收,10:43:01.283.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
113,接收,10:43:01.292.0,0x0000030b,数据帧,标准帧,0x01,00 
114,接收,10:43:01.292.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
115,接收,10:43:01.302.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
116,接收,10:43:01.364.0,0x00000301,数据帧,标准帧,0x08,ac 44 73 2b fe ff 00 00 
117,接收,10:43:01.364.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
118,接收,10:43:01.372.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
119,接收,10:43:01.372.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
120,接收,10:43:01.391.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d3 ff 
121,接收,10:43:01.391.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
122,接收,10:43:01.391.0,0x0000030b,数据帧,标准帧,0x01,00 
123,接收,10:43:01.393.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
124,接收,10:43:01.404.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
125,接收,10:43:01.463.0,0x00000301,数据帧,标准帧,0x08,ac 44 79 2a fe ff 00 00 
126,接收,10:43:01.463.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
127,接收,10:43:01.472.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
128,接收,10:43:01.472.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
129,接收,10:43:01.482.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d7 ff 
130,接收,10:43:01.482.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
131,接收,10:43:01.493.0,0x0000030b,数据帧,标准帧,0x01,00 
132,接收,10:43:01.493.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
133,接收,10:43:01.504.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
134,接收,10:43:01.566.0,0x00000301,数据帧,标准帧,0x08,ac 44 84 29 fe ff 00 00 
135,接收,10:43:01.566.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
136,接收,10:43:01.572.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
137,接收,10:43:01.572.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
138,接收,10:43:01.592.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d7 ff 
139,接收,10:43:01.592.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
140,接收,10:43:01.592.0,0x0000030b,数据帧,标准帧,0x01,00 
141,接收,10:43:01.592.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
142,接收,10:43:01.602.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
143,接收,10:43:01.665.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
144,接收,10:43:01.665.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
145,接收,10:43:01.665.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
146,接收,10:43:01.665.0,0x00000301,数据帧,标准帧,0x08,ac 44 95 28 fe ff 00 00 
147,接收,10:43:01.665.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
148,接收,10:43:01.665.0,0x00000402,数据帧,标准帧,0x08,1b 00 00 00 f3 e1 01 00 
149,接收,10:43:01.665.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
150,接收,10:43:01.674.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
151,接收,10:43:01.674.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
152,接收,10:43:01.674.0,0x00000404,数据帧,标准帧,0x01,36 
153,接收,10:43:01.674.0,0x00000405,数据帧,标准帧,0x08,bb 0d bb 0d bb 0d b9 0d 
154,接收,10:43:01.684.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d5 ff 
155,接收,10:43:01.684.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
156,接收,10:43:01.684.0,0x00000406,数据帧,标准帧,0x08,bb 0d bb 0d bb 0d bb 0d 
157,接收,10:43:01.684.0,0x00000407,数据帧,标准帧,0x04,bb 0d bb 0d 
158,接收,10:43:01.694.0,0x0000030b,数据帧,标准帧,0x01,00 
159,接收,10:43:01.694.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
160,接收,10:43:01.694.0,0x00000408,数据帧,标准帧,0x04,80 1c 00 00 
161,接收,10:43:01.694.0,0x00000409,数据帧,标准帧,0x08,e7 e6 e6 d7 e6 e6 e7 e7 
162,接收,10:43:01.704.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
163,接收,10:43:01.704.0,0x00000506,数据帧,标准帧,0x07,b9 0d bb 0d 64 e6 e7 
164,接收,10:43:01.704.0,0x00000509,数据帧,标准帧,0x03,40 6b 01 
165,接收,10:43:01.712.0,0x0000050a,数据帧,标准帧,0x03,e9 e8 e7 
166,接收,10:43:01.712.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
167,接收,10:43:01.723.0,0x0000050d,数据帧,标准帧,0x08,01 76 35 00 00 00 00 00 
168,接收,10:43:01.723.0,0x00000703,数据帧,标准帧,0x02,00 00 
169,接收,10:43:01.765.0,0x00000301,数据帧,标准帧,0x08,ac 44 ae 27 fe ff 00 00 
170,接收,10:43:01.765.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
171,接收,10:43:01.773.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
172,接收,10:43:01.773.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
173,接收,10:43:01.792.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d7 ff 
174,接收,10:43:01.792.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
175,接收,10:43:01.792.0,0x0000030b,数据帧,标准帧,0x01,00 
176,接收,10:43:01.792.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
177,接收,10:43:01.803.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
178,接收,10:43:01.863.0,0x00000301,数据帧,标准帧,0x08,ac 44 d1 26 fe ff 00 00 
179,接收,10:43:01.863.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
180,接收,10:43:01.872.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
181,接收,10:43:01.872.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
182,接收,10:43:01.883.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d7 ff 
183,接收,10:43:01.883.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
184,接收,10:43:01.893.0,0x0000030b,数据帧,标准帧,0x01,00 
185,接收,10:43:01.893.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
186,接收,10:43:01.903.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
187,接收,10:43:01.964.0,0x00000301,数据帧,标准帧,0x08,ac 44 f1 25 fe ff 00 00 
188,接收,10:43:01.964.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
189,接收,10:43:01.972.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
190,接收,10:43:01.972.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
191,接收,10:43:01.990.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d1 ff 
192,接收,10:43:01.990.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
193,接收,10:43:01.993.0,0x0000030b,数据帧,标准帧,0x01,00 
194,接收,10:43:01.993.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
195,接收,10:43:02.004.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
196,接收,10:43:02.064.0,0x00000301,数据帧,标准帧,0x08,ac 44 19 25 fe ff 00 00 
197,接收,10:43:02.064.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
198,接收,10:43:02.073.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
199,接收,10:43:02.073.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
200,接收,10:43:02.084.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d5 ff 
201,接收,10:43:02.084.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
202,接收,10:43:02.093.0,0x0000030b,数据帧,标准帧,0x01,00 
203,接收,10:43:02.093.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
204,接收,10:43:02.102.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
205,接收,10:43:02.164.0,0x00000301,数据帧,标准帧,0x08,ac 44 43 24 fe ff 00 00 
206,接收,10:43:02.164.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
207,接收,10:43:02.173.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
208,接收,10:43:02.173.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
209,接收,10:43:02.193.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d5 ff 
210,接收,10:43:02.193.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
211,接收,10:43:02.193.0,0x0000030b,数据帧,标准帧,0x01,00 
212,接收,10:43:02.193.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
213,接收,10:43:02.204.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
214,接收,10:43:02.263.0,0x00000301,数据帧,标准帧,0x08,ac 44 7a 23 fe ff 00 00 
215,接收,10:43:02.263.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
216,接收,10:43:02.272.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
217,接收,10:43:02.272.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
218,接收,10:43:02.282.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d9 ff 
219,接收,10:43:02.282.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
220,接收,10:43:02.293.0,0x0000030b,数据帧,标准帧,0x01,00 
221,接收,10:43:02.293.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
222,接收,10:43:02.303.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
223,接收,10:43:02.363.0,0x00000301,数据帧,标准帧,0x08,ac 44 af 22 fe ff 00 00 
224,接收,10:43:02.363.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
225,接收,10:43:02.374.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
226,接收,10:43:02.374.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
227,接收,10:43:02.390.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d5 ff 
228,接收,10:43:02.390.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
229,接收,10:43:02.393.0,0x0000030b,数据帧,标准帧,0x01,00 
230,接收,10:43:02.393.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
231,接收,10:43:02.404.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
232,接收,10:43:02.464.0,0x00000301,数据帧,标准帧,0x08,ac 44 f0 21 fe ff 00 00 
233,接收,10:43:02.464.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
234,接收,10:43:02.472.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
235,接收,10:43:02.472.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
236,接收,10:43:02.482.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d5 ff 
237,接收,10:43:02.482.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
238,接收,10:43:02.493.0,0x0000030b,数据帧,标准帧,0x01,00 
239,接收,10:43:02.493.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
240,接收,10:43:02.502.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
241,接收,10:43:02.564.0,0x00000301,数据帧,标准帧,0x08,ac 44 2e 21 fe ff 00 00 
242,接收,10:43:02.564.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
243,接收,10:43:02.572.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
244,接收,10:43:02.572.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
245,接收,10:43:02.590.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 75 3c d7 ff 
246,接收,10:43:02.590.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
247,接收,10:43:02.593.0,0x0000030b,数据帧,标准帧,0x01,00 
248,接收,10:43:02.593.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
249,接收,10:43:02.603.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
250,接收,10:43:02.665.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
251,接收,10:43:02.665.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
252,接收,10:43:02.665.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
253,接收,10:43:02.665.0,0x00000301,数据帧,标准帧,0x08,ac 44 72 20 fe ff 00 00 
254,接收,10:43:02.665.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
255,接收,10:43:02.665.0,0x00000402,数据帧,标准帧,0x08,1b 00 00 00 f3 e1 01 00 
256,接收,10:43:02.665.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
257,接收,10:43:02.674.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
258,接收,10:43:02.674.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
259,接收,10:43:02.674.0,0x00000404,数据帧,标准帧,0x01,36 
260,接收,10:43:02.674.0,0x00000405,数据帧,标准帧,0x08,bb 0d bb 0d bb 0d b9 0d 
261,接收,10:43:02.684.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d7 ff 
262,接收,10:43:02.684.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
263,接收,10:43:02.684.0,0x00000406,数据帧,标准帧,0x08,bb 0d bb 0d bb 0d bb 0d 
264,接收,10:43:02.684.0,0x00000407,数据帧,标准帧,0x04,bb 0d bb 0d 
265,接收,10:43:02.694.0,0x0000030b,数据帧,标准帧,0x01,00 
266,接收,10:43:02.694.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
267,接收,10:43:02.694.0,0x00000408,数据帧,标准帧,0x04,81 1c 00 00 
268,接收,10:43:02.694.0,0x00000409,数据帧,标准帧,0x08,e7 e6 e6 d7 e6 e6 e7 e7 
269,接收,10:43:02.704.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
270,接收,10:43:02.704.0,0x00000506,数据帧,标准帧,0x07,b9 0d bb 0d 64 e6 e7 
271,接收,10:43:02.704.0,0x00000509,数据帧,标准帧,0x03,40 6b 01 
272,接收,10:43:02.713.0,0x0000050a,数据帧,标准帧,0x03,e9 e8 e7 
273,接收,10:43:02.713.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
