序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
5841,接收,15:18:22.377.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 0a 00 00 00 
5842,接收,15:18:22.446.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 ff ff 00 00 
5843,接收,15:18:22.446.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5844,接收,15:18:22.457.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5845,接收,15:18:22.457.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5846,接收,15:18:22.467.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ce ff 
5847,接收,15:18:22.467.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
5848,接收,15:18:22.476.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5849,接收,15:18:22.476.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 f6 ff ff ff 
5850,接收,15:18:22.548.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 ff ff 00 00 
5851,接收,15:18:22.548.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5852,接收,15:18:22.577.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5853,接收,15:18:22.577.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5854,接收,15:18:22.577.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ca ff 
5855,接收,15:18:22.577.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
5856,接收,15:18:22.577.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5857,接收,15:18:22.577.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 f6 ff ff ff 
5858,接收,15:18:22.646.0,0x00000301,数据帧,标准帧,0x08,5e 46 5e 00 00 00 00 00 
5859,接收,15:18:22.646.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5860,接收,15:18:22.656.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5861,接收,15:18:22.656.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5862,接收,15:18:22.667.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c d0 ff 
5863,接收,15:18:22.667.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5864,接收,15:18:22.677.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5865,接收,15:18:22.677.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
5866,接收,15:18:22.748.0,0x00000301,数据帧,标准帧,0x08,5e 46 62 00 00 00 00 00 
5867,接收,15:18:22.748.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5868,接收,15:18:22.757.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5869,接收,15:18:22.757.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5870,接收,15:18:22.778.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c c8 ff 
5871,接收,15:18:22.778.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5872,接收,15:18:22.778.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5873,接收,15:18:22.778.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
5874,接收,15:18:22.847.0,0x00000301,数据帧,标准帧,0x08,5a 46 60 00 00 00 00 00 
5875,接收,15:18:22.847.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5876,接收,15:18:22.856.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5877,接收,15:18:22.856.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5878,接收,15:18:22.867.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ca ff 
5879,接收,15:18:22.867.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
5880,接收,15:18:22.876.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5881,接收,15:18:22.876.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5882,接收,15:18:22.948.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
5883,接收,15:18:22.948.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5884,接收,15:18:22.976.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5885,接收,15:18:22.976.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5886,接收,15:18:22.976.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 83 3c c6 ff 
5887,接收,15:18:22.976.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
5888,接收,15:18:22.976.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5889,接收,15:18:22.976.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5890,接收,15:18:23.046.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
5891,接收,15:18:23.046.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5892,接收,15:18:23.057.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5893,接收,15:18:23.057.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5894,接收,15:18:23.067.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5895,接收,15:18:23.067.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
5896,接收,15:18:23.076.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5897,接收,15:18:23.076.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5898,接收,15:18:23.149.0,0x00000301,数据帧,标准帧,0x08,5a 46 61 00 00 00 00 00 
5899,接收,15:18:23.149.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5900,接收,15:18:23.177.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5901,接收,15:18:23.177.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5902,接收,15:18:23.177.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ca ff 
5903,接收,15:18:23.177.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
5904,接收,15:18:23.177.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5905,接收,15:18:23.177.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5906,接收,15:18:23.248.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 04 00 
5907,接收,15:18:23.248.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5908,接收,15:18:23.248.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5909,接收,15:18:23.248.0,0x00000301,数据帧,标准帧,0x08,5e 46 5f 00 00 00 00 00 
5910,接收,15:18:23.248.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5911,接收,15:18:23.248.0,0x00000402,数据帧,标准帧,0x08,27 00 00 00 4b b0 02 00 
5912,接收,15:18:23.248.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
5913,接收,15:18:23.258.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5914,接收,15:18:23.258.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5915,接收,15:18:23.258.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
5916,接收,15:18:23.258.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
5917,接收,15:18:23.268.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ce ff 
5918,接收,15:18:23.268.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5919,接收,15:18:23.268.0,0x00000407,数据帧,标准帧,0x04,11 0e 11 0e 
5920,接收,15:18:23.268.0,0x00000408,数据帧,标准帧,0x04,75 00 00 00 
5921,接收,15:18:23.278.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5922,接收,15:18:23.278.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
5923,接收,15:18:23.278.0,0x00000409,数据帧,标准帧,0x08,e4 e4 e5 d7 e5 e9 e4 e5 
5924,接收,15:18:23.278.0,0x00000506,数据帧,标准帧,0x07,11 0e 11 0e 51 e4 e5 
5925,接收,15:18:23.287.0,0x00000509,数据帧,标准帧,0x03,40 76 01 
5926,接收,15:18:23.287.0,0x0000050a,数据帧,标准帧,0x03,e7 e8 e4 
5927,接收,15:18:23.296.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
5928,接收,15:18:23.296.0,0x0000050d,数据帧,标准帧,0x08,01 5a 4c 00 00 00 00 00 
5929,接收,15:18:23.347.0,0x00000301,数据帧,标准帧,0x08,5e 46 5d 00 00 00 00 00 
5930,接收,15:18:23.347.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5931,接收,15:18:23.378.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5932,接收,15:18:23.378.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5933,接收,15:18:23.378.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5934,接收,15:18:23.378.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5935,接收,15:18:23.378.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5936,接收,15:18:23.378.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
5937,接收,15:18:23.446.0,0x00000301,数据帧,标准帧,0x08,5a 46 5f 00 00 00 00 00 
5938,接收,15:18:23.446.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5939,接收,15:18:23.456.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5940,接收,15:18:23.456.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5941,接收,15:18:23.466.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5942,接收,15:18:23.466.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5943,接收,15:18:23.477.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5944,接收,15:18:23.477.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5945,接收,15:18:23.550.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
5946,接收,15:18:23.550.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5947,接收,15:18:23.577.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5948,接收,15:18:23.577.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5949,接收,15:18:23.577.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5950,接收,15:18:23.577.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5951,接收,15:18:23.577.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5952,接收,15:18:23.577.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5953,接收,15:18:23.648.0,0x00000301,数据帧,标准帧,0x08,5e 46 5f 00 00 00 00 00 
5954,接收,15:18:23.648.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5955,接收,15:18:23.658.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5956,接收,15:18:23.658.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5957,接收,15:18:23.666.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5958,接收,15:18:23.666.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5959,接收,15:18:23.677.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5960,接收,15:18:23.677.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
5961,接收,15:18:23.749.0,0x00000301,数据帧,标准帧,0x08,5e 46 60 00 00 00 00 00 
5962,接收,15:18:23.749.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5963,接收,15:18:23.777.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5964,接收,15:18:23.777.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5965,接收,15:18:23.777.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ce ff 
5966,接收,15:18:23.777.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5967,接收,15:18:23.777.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5968,接收,15:18:23.777.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
5969,接收,15:18:23.847.0,0x00000301,数据帧,标准帧,0x08,5a 46 60 00 00 00 00 00 
5970,接收,15:18:23.847.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5971,接收,15:18:23.856.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5972,接收,15:18:23.856.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5973,接收,15:18:23.866.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5974,接收,15:18:23.866.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5975,接收,15:18:23.877.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5976,接收,15:18:23.877.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5977,接收,15:18:23.948.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
5978,接收,15:18:23.948.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5979,接收,15:18:23.977.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5980,接收,15:18:23.977.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5981,接收,15:18:23.977.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5982,接收,15:18:23.977.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
5983,接收,15:18:23.977.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5984,接收,15:18:23.977.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5985,接收,15:18:24.046.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
5986,接收,15:18:24.046.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5987,接收,15:18:24.057.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5988,接收,15:18:24.057.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5989,接收,15:18:24.066.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
5990,接收,15:18:24.066.0,0x0000030a,数据帧,标准帧,0x04,23 00 23 00 
5991,接收,15:18:24.076.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
5992,接收,15:18:24.076.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
5993,接收,15:18:24.148.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
5994,接收,15:18:24.148.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
5995,接收,15:18:24.177.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
5996,接收,15:18:24.177.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
5997,接收,15:18:24.177.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ca ff 
5998,接收,15:18:24.177.0,0x0000030a,数据帧,标准帧,0x04,23 00 23 00 
5999,接收,15:18:24.177.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6000,接收,15:18:24.177.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6001,接收,15:18:24.248.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 04 00 
6002,接收,15:18:24.248.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
6003,接收,15:18:24.248.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
6004,接收,15:18:24.248.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
6005,接收,15:18:24.248.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6006,接收,15:18:24.248.0,0x00000402,数据帧,标准帧,0x08,27 00 00 00 4b b0 02 00 
6007,接收,15:18:24.248.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
6008,接收,15:18:24.259.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6009,接收,15:18:24.259.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6010,接收,15:18:24.259.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
6011,接收,15:18:24.259.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
6012,接收,15:18:24.269.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
6013,接收,15:18:24.269.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
6014,接收,15:18:24.269.0,0x00000407,数据帧,标准帧,0x04,11 0e 11 0e 
6015,接收,15:18:24.269.0,0x00000408,数据帧,标准帧,0x04,76 00 00 00 
6016,接收,15:18:24.277.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6017,接收,15:18:24.277.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6018,接收,15:18:24.277.0,0x00000409,数据帧,标准帧,0x08,e4 e4 e5 d7 e5 e9 e4 e5 
6019,接收,15:18:24.277.0,0x00000506,数据帧,标准帧,0x07,11 0e 11 0e 12 e4 e5 
6020,接收,15:18:24.286.0,0x00000509,数据帧,标准帧,0x03,40 76 01 
6021,接收,15:18:24.286.0,0x0000050a,数据帧,标准帧,0x03,e7 e8 e4 
6022,接收,15:18:24.296.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
6023,接收,15:18:24.296.0,0x0000050d,数据帧,标准帧,0x08,01 5a 4c 00 00 00 00 00 
6024,接收,15:18:24.349.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
6025,接收,15:18:24.349.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6026,接收,15:18:24.375.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6027,接收,15:18:24.375.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6028,接收,15:18:24.375.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
6029,接收,15:18:24.375.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
6030,接收,15:18:24.375.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6031,接收,15:18:24.375.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6032,接收,15:18:24.447.0,0x00000301,数据帧,标准帧,0x08,5a 46 5f 00 00 00 00 00 
6033,接收,15:18:24.447.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6034,接收,15:18:24.456.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6035,接收,15:18:24.456.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6036,接收,15:18:24.467.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
6037,接收,15:18:24.467.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
6038,接收,15:18:24.476.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6039,接收,15:18:24.476.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6040,接收,15:18:24.548.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
6041,接收,15:18:24.548.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6042,接收,15:18:24.577.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6043,接收,15:18:24.577.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6044,接收,15:18:24.577.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
6045,接收,15:18:24.577.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
6046,接收,15:18:24.577.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6047,接收,15:18:24.577.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6048,接收,15:18:24.646.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
6049,接收,15:18:24.646.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6050,接收,15:18:24.657.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6051,接收,15:18:24.657.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6052,接收,15:18:24.666.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c cc ff 
6053,接收,15:18:24.666.0,0x0000030a,数据帧,标准帧,0x04,23 00 23 00 
6054,接收,15:18:24.677.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6055,接收,15:18:24.677.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6056,接收,15:18:24.748.0,0x00000301,数据帧,标准帧,0x08,5a 46 5f 00 00 00 00 00 
6057,接收,15:18:24.748.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6058,接收,15:18:24.777.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6059,接收,15:18:24.777.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6060,接收,15:18:24.777.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ca ff 
6061,接收,15:18:24.777.0,0x0000030a,数据帧,标准帧,0x04,23 00 23 00 
6062,接收,15:18:24.777.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6063,接收,15:18:24.777.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6064,接收,15:18:24.846.0,0x00000301,数据帧,标准帧,0x08,5a 46 5f 00 00 00 00 00 
6065,接收,15:18:24.846.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6066,接收,15:18:24.856.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6067,接收,15:18:24.856.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6068,接收,15:18:24.865.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ca ff 
6069,接收,15:18:24.865.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
6070,接收,15:18:24.876.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6071,接收,15:18:24.876.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6072,接收,15:18:24.950.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
6073,接收,15:18:24.950.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6074,接收,15:18:24.976.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6075,接收,15:18:24.976.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6076,接收,15:18:24.976.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c c4 ff 
6077,接收,15:18:24.976.0,0x0000030a,数据帧,标准帧,0x04,1d 00 1d 00 
6078,接收,15:18:24.976.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6079,接收,15:18:24.976.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
6080,接收,15:18:25.048.0,0x00000301,数据帧,标准帧,0x08,5e 46 5d 00 00 00 00 00 
6081,接收,15:18:25.048.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6082,接收,15:18:25.057.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6083,接收,15:18:25.057.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6084,接收,15:18:25.066.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ce ff 
6085,接收,15:18:25.066.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
6086,接收,15:18:25.077.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6087,接收,15:18:25.077.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
6088,接收,15:18:25.150.0,0x00000301,数据帧,标准帧,0x08,5e 46 5e 00 00 00 00 00 
6089,接收,15:18:25.150.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6090,接收,15:18:25.178.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6091,接收,15:18:25.178.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6092,接收,15:18:25.178.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c ce ff 
6093,接收,15:18:25.178.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
6094,接收,15:18:25.178.0,0x00000400,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
6095,接收,15:18:25.178.0,0x00000401,数据帧,标准帧,0x08,be 8c 00 00 00 00 00 00 
6096,接收,15:18:25.248.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 04 00 
6097,接收,15:18:25.248.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
6098,接收,15:18:25.248.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
6099,接收,15:18:25.248.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
6100,接收,15:18:25.248.0,0x00000302,数据帧,标准帧,0x08,00 00 00 00 a9 50 9d 39 
6101,接收,15:18:25.248.0,0x00000402,数据帧,标准帧,0x08,27 00 00 00 4b b0 02 00 
6102,接收,15:18:25.248.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
6103,接收,15:18:25.259.0,0x00000303,数据帧,标准帧,0x04,00 00 00 00 
6104,接收,15:18:25.259.0,0x00000304,数据帧,标准帧,0x06,05 00 00 10 00 00 
6105,接收,15:18:25.259.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
6106,接收,15:18:25.259.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
6107,接收,15:18:25.268.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 82 3c d0 ff 
6108,接收,15:18:25.268.0,0x0000030a,数据帧,标准帧,0x04,23 00 1d 00 
