序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
129,接收,19:08:00.723.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
130,接收,19:08:00.723.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
131,接收,19:08:00.743.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D0 FF ,
132,接收,19:08:00.743.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
133,接收,19:08:00.743.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
134,接收,19:08:00.743.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
135,接收,19:08:00.812.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
136,接收,19:08:00.813.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 00 00 ,
137,接收,19:08:00.813.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
138,接收,19:08:00.817.0,0x00000301,标准帧,数据帧,0x08,6D 3C 42 3C 00 00 00 00 ,
139,接收,19:08:00.817.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
140,接收,19:08:00.817.0,0x00000402,标准帧,数据帧,0x08,01 00 00 00 F8 25 00 00 ,
141,接收,19:08:00.817.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 E3 C3 07 00 ,
142,接收,19:08:00.823.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
143,接收,19:08:00.823.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
144,接收,19:08:00.823.0,0x00000405,标准帧,数据帧,0x08,10 0C 10 0C 13 0C 14 0C ,
145,接收,19:08:00.823.0,0x00000406,标准帧,数据帧,0x08,07 0C 1B 0C 17 0C 14 0C ,
146,接收,19:08:00.834.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7E 3C D8 FF ,
147,接收,19:08:00.834.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5A 3B ,
148,接收,19:08:00.834.0,0x00000407,标准帧,数据帧,0x04,17 0C 1D 0C ,
149,接收,19:08:00.834.0,0x00000408,标准帧,数据帧,0x04,ED 08 00 00 ,
150,接收,19:08:00.841.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
151,接收,19:08:00.841.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
152,接收,19:08:00.841.0,0x00000409,标准帧,数据帧,0x08,E5 E4 E5 D7 E5 E5 E5 E5 ,
153,接收,19:08:00.841.0,0x00000506,标准帧,数据帧,0x07,07 0C 1D 0C A5 E4 E5 ,
154,接收,19:08:00.850.0,0x00000509,标准帧,数据帧,0x03,3F 81 01 ,
155,接收,19:08:00.850.0,0x0000050a,标准帧,数据帧,0x03,E6 E6 E5 ,
156,接收,19:08:00.863.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
157,接收,19:08:00.863.0,0x0000050d,标准帧,数据帧,0x08,01 BB 03 00 00 00 00 00 ,
158,接收,19:08:00.918.0,0x00000301,标准帧,数据帧,0x08,6D 3C 42 3C 00 00 00 00 ,
159,接收,19:08:00.918.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
160,接收,19:08:00.939.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
161,接收,19:08:00.939.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
162,接收,19:08:00.940.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D2 FF ,
163,接收,19:08:00.940.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
164,接收,19:08:00.942.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
165,接收,19:08:00.942.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
166,接收,19:08:01.014.0,0x00000301,标准帧,数据帧,0x08,6D 3C 43 3C 00 00 00 00 ,
167,接收,19:08:01.014.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
168,接收,19:08:01.021.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
169,接收,19:08:01.021.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
170,接收,19:08:01.031.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D4 FF ,
171,接收,19:08:01.031.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
172,接收,19:08:01.043.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
173,接收,19:08:01.043.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
174,接收,19:08:01.118.0,0x00000301,标准帧,数据帧,0x08,6D 3C 44 3C 00 00 00 00 ,
175,接收,19:08:01.118.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
176,接收,19:08:01.121.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
177,接收,19:08:01.121.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
178,接收,19:08:01.142.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D2 FF ,
179,接收,19:08:01.142.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
180,接收,19:08:01.145.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
181,接收,19:08:01.145.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
182,接收,19:08:01.213.0,0x00000301,标准帧,数据帧,0x08,6D 3C 46 3C 00 00 00 00 ,
183,接收,19:08:01.213.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
184,接收,19:08:01.221.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
185,接收,19:08:01.221.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
186,接收,19:08:01.230.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D6 FF ,
187,接收,19:08:01.230.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
188,接收,19:08:01.241.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
189,接收,19:08:01.241.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
190,接收,19:08:01.319.0,0x00000301,标准帧,数据帧,0x08,6D 3C 47 3C 00 00 00 00 ,
191,接收,19:08:01.319.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
192,接收,19:08:01.323.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
193,接收,19:08:01.323.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
194,接收,19:08:01.343.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D2 FF ,
195,接收,19:08:01.343.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
196,接收,19:08:01.343.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
197,接收,19:08:01.343.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
198,接收,19:08:01.414.0,0x00000301,标准帧,数据帧,0x08,68 3C 47 3C 00 00 00 00 ,
199,接收,19:08:01.414.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
200,接收,19:08:01.421.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
201,接收,19:08:01.421.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
202,接收,19:08:01.432.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D6 FF ,
203,接收,19:08:01.433.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5A 3B ,
204,接收,19:08:01.441.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
205,接收,19:08:01.441.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
206,接收,19:08:01.519.0,0x00000301,标准帧,数据帧,0x08,68 3C 43 3C 00 00 00 00 ,
207,接收,19:08:01.519.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
208,接收,19:08:01.523.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
209,接收,19:08:01.523.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
210,接收,19:08:01.543.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 82 3C D0 FF ,
211,接收,19:08:01.543.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5A 3B ,
212,接收,19:08:01.543.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
213,接收,19:08:01.543.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
214,接收,19:08:01.612.0,0x00000301,标准帧,数据帧,0x08,68 3C 46 3C 00 00 00 00 ,
215,接收,19:08:01.612.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
216,接收,19:08:01.621.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
217,接收,19:08:01.621.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
218,接收,19:08:01.631.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D6 FF ,
219,接收,19:08:01.631.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
220,接收,19:08:01.640.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
221,接收,19:08:01.641.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
222,接收,19:08:01.715.0,0x00000301,标准帧,数据帧,0x08,68 3C 43 3C 00 00 00 00 ,
223,接收,19:08:01.715.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
224,接收,19:08:01.722.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
225,接收,19:08:01.722.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
226,接收,19:08:01.743.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D2 FF ,
227,接收,19:08:01.743.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
228,接收,19:08:01.743.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
229,接收,19:08:01.743.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
230,接收,19:08:01.815.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
231,接收,19:08:01.815.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 00 00 ,
232,接收,19:08:01.815.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
233,接收,19:08:01.815.0,0x00000301,标准帧,数据帧,0x08,72 3C 42 3C 00 00 00 00 ,
234,接收,19:08:01.815.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
235,接收,19:08:01.815.0,0x00000402,标准帧,数据帧,0x08,01 00 00 00 F8 25 00 00 ,
236,接收,19:08:01.815.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 E3 C3 07 00 ,
237,接收,19:08:01.821.0,0x00000303,标准帧,数据帧,0x04,B1 00 39 1E ,
238,接收,19:08:01.821.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
239,接收,19:08:01.823.0,0x00000405,标准帧,数据帧,0x08,10 0C 10 0C 13 0C 16 0C ,
240,接收,19:08:01.823.0,0x00000406,标准帧,数据帧,0x08,07 0C 1B 0C 17 0C 14 0C ,
241,接收,19:08:01.831.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D4 FF ,
242,接收,19:08:01.831.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5A 3B ,
243,接收,19:08:01.831.0,0x00000407,标准帧,数据帧,0x04,17 0C 1D 0C ,
244,接收,19:08:01.831.0,0x00000408,标准帧,数据帧,0x04,EE 08 00 00 ,
245,接收,19:08:01.840.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
246,接收,19:08:01.840.0,0x00000401,标准帧,数据帧,0x08,E5 78 00 00 00 00 00 00 ,
247,接收,19:08:01.841.0,0x00000409,标准帧,数据帧,0x08,E5 E4 E5 D7 E5 E5 E5 E5 ,
248,接收,19:08:01.841.0,0x00000506,标准帧,数据帧,0x07,07 0C 1D 0C A5 E4 E5 ,
