Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
85,Receive,19:08:00.145.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
86,Receive,19:08:00.145.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
87,Receive,19:08:00.213.0,0x00000301,Standard,Data,0x08,68 3C 46 3C 00 00 00 00 ,
88,Receive,19:08:00.213.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
89,Receive,19:08:00.220.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
90,Receive,19:08:00.220.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
91,Receive,19:08:00.231.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D4 FF ,
92,Receive,19:08:00.231.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
93,Receive,19:08:00.240.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
94,Receive,19:08:00.241.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
95,Receive,19:08:00.315.0,0x00000301,Standard,Data,0x08,68 3C 39 3C 00 00 00 00 ,
96,Receive,19:08:00.315.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
97,Receive,19:08:00.322.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
98,Receive,19:08:00.322.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
99,Receive,19:08:00.342.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D0 FF ,
100,Receive,19:08:00.342.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
101,Receive,19:08:00.342.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
102,Receive,19:08:00.342.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
103,Receive,19:08:00.413.0,0x00000301,Standard,Data,0x08,6D 3C 49 3C 00 00 00 00 ,
104,Receive,19:08:00.413.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
105,Receive,19:08:00.420.0,0x00000303,Standard,Data,0x04,B1 00 36 1E ,
106,Receive,19:08:00.420.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
107,Receive,19:08:00.432.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7E 3C D4 FF ,
108,Receive,19:08:00.432.0,0x0000030a,Standard,Data,0x04,63 3C 5F 3B ,
